Name,TLB,Size,Alignment,Start Address
Memory_Section_User_TLB_DDR_3_0_21,User_TLB_DDR_3_0,258cd,40,52864080
Memory_Section_User_TLB_DDR_6_2_11,User_TLB_DDR_6_2,6fd,400,55136400
Memory_Section_User_TLB_DDR_2_4_1,User_TLB_DDR_2_4,1f92de,400,45325400
Memory_Section_User_TLB_DDR_5_3_23,User_TLB_DDR_5_3,1c05,40,55030c40
Memory_Section_User_TLB_DDR_2_1_41,User_TLB_DDR_2_1,17d7fb,4,4fe914c4
Memory_Section_User_TLB_DDR_5_3_0,User_TLB_DDR_5_3,2b03,1000,55007000
Memory_Section_User_TLB_DDR_2_4_2,User_TLB_DDR_2_4,1cedb3,100,45d25f00
Memory_Section_User_TLB_DDR_6_1_21,User_TLB_DDR_6_1,53,10,55110b30
Memory_Section_User_TLB_DDR_3_2_20,User_TLB_DDR_3_2,5f38c,1000,5107b000
Memory_Section_User_TLB_DDR_3_3_12,User_TLB_DDR_3_3,8345f,1000,530c4000
Memory_Section_User_TLB_DDR_2_2_0,User_TLB_DDR_2_2,231c89,40,4aab62c0
Memory_Section_User_TLB_DDR_3_2_6,User_TLB_DDR_3_2,a4bbc,40,516a89c0
Memory_Section_User_TLB_DDR_3_2_19,User_TLB_DDR_3_2,6f50f,10,51d29a50
Memory_Section_User_TLB_DDR_4_1_25,User_TLB_DDR_4_1,146b3,4,547e3840
Memory_Section_User_TLB_DDR_4_3_12,User_TLB_DDR_4_3,20e1,10,54f5d200
Memory_Section_User_TLB_DDR_6_4_33,User_TLB_DDR_6_4,9da,100,55128500
Memory_Section_User_TLB_DDR_1_3_15,User_TLB_DDR_1_3,9d740b,1000,20aa8000
Memory_Section_User_TLB_DDR_5_4_9,User_TLB_DDR_5_4,2f13,100,55052f00
Memory_Section_User_TLB_DDR_1_1_1,User_TLB_DDR_1_1,5213a6,4,3f3c1678
Memory_Section_User_TLB_DDR_5_1_31,User_TLB_DDR_5_1,3260,10,550a6100
Memory_Section_User_TLB_DDR_1_3_23,User_TLB_DDR_1_3,aa7b86,1000,20000000
Memory_Section_User_TLB_DDR_4_2_23,User_TLB_DDR_4_2,260be,400,540d3000
Memory_Section_User_TLB_DDR_2_2_17,User_TLB_DDR_2_2,1bd198,400,49576c00
Memory_Section_User_TLB_DDR_4_2_3,User_TLB_DDR_4_2,f96c,4,543f6118
Memory_Section_User_TLB_DDR_4_2_8,User_TLB_DDR_4_2,1b874,10,5433fdf0
Memory_Section_User_TLB_DDR_4_4_33,User_TLB_DDR_4_4,9dfc,40,54b54080
Memory_Section_User_TLB_DDR_3_3_23,User_TLB_DDR_3_3,b7ab1,10,53915810
Memory_Section_User_TLB_DDR_6_1_27,User_TLB_DDR_6_1,8d0,100,55116600
Memory_Section_User_TLB_DDR_1_3_8,User_TLB_DDR_1_3,3e1da9,1000,22852000
Memory_Section_User_TLB_DDR_2_4_6,User_TLB_DDR_2_4,116d3f,100,46065d00
Memory_Section_User_TLB_DDR_5_3_16,User_TLB_DDR_5_3,2548,40,55027b40
Memory_Section_User_TLB_DDR_6_4_35,User_TLB_DDR_6_4,64f,400,55126000
Memory_Section_User_TLB_DDR_3_1_19,User_TLB_DDR_3_1,797a4,10,50c28820
Memory_Section_User_TLB_DDR_5_1_28,User_TLB_DDR_5_1,2997,1000,55087000
Memory_Section_User_TLB_DDR_6_2_39,User_TLB_DDR_6_2,327,10,5513e030
Memory_Section_User_TLB_DDR_1_4_35,User_TLB_DDR_1_4,6fa55f,4,e6f8618
Memory_Section_User_TLB_DDR_5_1_17,User_TLB_DDR_5_1,d14,1000,55091000
Memory_Section_User_TLB_DDR_4_1_22,User_TLB_DDR_4_1,c305,100,54615f00
Memory_Section_User_TLB_DDR_3_3_10,User_TLB_DDR_3_3,50a98,10,53bbef80
Memory_Section_User_TLB_DDR_4_1_10,User_TLB_DDR_4_1,13fbc,1000,54497000
Memory_Section_User_TLB_DDR_6_3_32,User_TLB_DDR_6_3,a80,4,5510da8c
Memory_Section_User_TLB_DDR_1_0_29,User_TLB_DDR_1_0,2114,10,1c855be0
Memory_Section_User_TLB_DDR_1_0_15,User_TLB_DDR_1_0,13dd7e,100,17b86e00
Memory_Section_User_TLB_DDR_2_1_33,User_TLB_DDR_2_1,18d042,40,4ef6dec0
Memory_Section_User_TLB_DDR_6_1_20,User_TLB_DDR_6_1,318,400,55110c00
Memory_Section_User_TLB_DDR_6_2_33,User_TLB_DDR_6_2,46c,100,55139400
Memory_Section_User_TLB_DDR_1_4_0,User_TLB_DDR_1_4,a5ea59,10,acf7e60
Memory_Section_User_TLB_DDR_1_3_18,User_TLB_DDR_1_3,55b432,4,2fbee008
Memory_Section_User_TLB_DDR_6_2_38,User_TLB_DDR_6_2,895,1000,55132000
Memory_Section_User_TLB_DDR_2_4_13,User_TLB_DDR_2_4,2c4939,4,47720fb8
Memory_Section_User_TLB_DDR_5_1_11,User_TLB_DDR_5_1,18cb,100,55099900
Memory_Section_User_TLB_DDR_1_1_15,User_TLB_DDR_1_1,3d15f2,4,3fd4488c
Memory_Section_User_TLB_DDR_1_0_7,User_TLB_DDR_1_0,1c1a8e,400,161f3c00
Memory_Section_User_TLB_DDR_2_4_3,User_TLB_DDR_2_4,f646d,100,4627d100
Memory_Section_User_TLB_DDR_3_3_9,User_TLB_DDR_3_3,645bc,40,5384c980
Memory_Section_User_TLB_DDR_3_0_20,User_TLB_DDR_3_0,c80c5,40,524ecd00
Memory_Section_User_TLB_DDR_5_2_22,User_TLB_DDR_5_2,30dd,10,550e6670
Memory_Section_User_TLB_DDR_3_2_17,User_TLB_DDR_3_2,aa0d6,40,515fe8c0
Memory_Section_User_TLB_DDR_6_4_12,User_TLB_DDR_6_4,14,100,55120b00
Memory_Section_User_TLB_DDR_4_3_14,User_TLB_DDR_4_3,109c8,1000,54c22000
Memory_Section_User_TLB_DDR_6_2_27,User_TLB_DDR_6_2,c10,400,55134400
Memory_Section_User_TLB_DDR_2_4_37,User_TLB_DDR_2_4,273563,100,45ab2900
Memory_Section_User_TLB_DDR_3_2_12,User_TLB_DDR_3_2,4c40d,10,51e4d690
Memory_Section_User_TLB_DDR_1_3_34,User_TLB_DDR_1_3,30e952,100,27b3bf00
Memory_Section_User_TLB_DDR_1_0_13,User_TLB_DDR_1_0,9708e2,4,1e09096c
Memory_Section_User_TLB_DDR_2_0_20,User_TLB_DDR_2_0,2d027b,400,40e5cc00
Memory_Section_User_TLB_DDR_5_2_7,User_TLB_DDR_5_2,8ef,40,550e5d80
Memory_Section_User_TLB_DDR_2_4_41,User_TLB_DDR_2_4,31b499,40,46690b00
Memory_Section_User_TLB_DDR_4_2_36,User_TLB_DDR_4_2,fd64,400,5412ec00
Memory_Section_User_TLB_DDR_6_3_30,User_TLB_DDR_6_3,ae0,100,55104500
Memory_Section_User_TLB_DDR_1_0_1,User_TLB_DDR_1_0,233216,100,17953b00
Memory_Section_User_TLB_DDR_5_2_6,User_TLB_DDR_5_2,257c,400,550c7c00
Memory_Section_User_TLB_DDR_5_3_32,User_TLB_DDR_5_3,30e6,1000,55000000
Memory_Section_User_TLB_DDR_6_1_24,User_TLB_DDR_6_1,1c0,1000,5511a000
Memory_Section_User_TLB_DDR_4_2_29,User_TLB_DDR_4_2,28aaa,400,540aa400
Memory_Section_User_TLB_DDR_2_2_20,User_TLB_DDR_2_2,26add1,1000,4856b000
Memory_Section_User_TLB_DDR_1_0_31,User_TLB_DDR_1_0,83a264,10,1aacf9a0
Memory_Section_User_TLB_DDR_2_4_35,User_TLB_DDR_2_4,be781,4,47eacf5c
Memory_Section_User_TLB_DDR_3_3_18,User_TLB_DDR_3_3,c6544,4,53d6511c
Memory_Section_User_TLB_DDR_5_4_25,User_TLB_DDR_5_4,2e98,40,5505f840
