Name,Min Size,Size In KB,Start Address
DDR 1,0x40000000,0x100000,0x0
DDR 2,0x20000000,0x100000,0x40000000
DDR 3,0x10000000,0x40000,0x60000000
DDR 4,0x1000000,0x4000,0x70000000
DDR 5,0x200000,0x1000,0x71000000
DDR 6,0x40000,0x100,0x71200000
User_TLB_DDR_1_17,0xfba1400,0x40000,0x0
User_TLB_DDR_1_15,0xdcba445,0x40000,0x10000000
User_TLB_DDR_1_12,0xdb20966,0x40000,0x20000000
User_TLB_DDR_1_5,0xdb1eebc,0x40000,0x30000000
User_TLB_DDR_2_2,0xcb39e6d,0x40000,0x40000000
User_TLB_DDR_2_3,0xa753622,0x40000,0x50000000
User_TLB_DDR_2_1,0xa1e1ca7,0x40000,0x60000000
User_TLB_DDR_2_4,0x6e43750,0x40000,0x70000000
User_TLB_DDR_3_88,0x3fc3cc5,0x10000,0x60000000
User_TLB_DDR_3_125,0x3fb32b2,0x10000,0x64000000
User_TLB_DDR_3_174,0x3f647e8,0x10000,0x68000000
User_TLB_DDR_3_173,0x3f3cdd8,0x10000,0x6c000000
User_TLB_DDR_4_7,0x3f0e23,0x1000,0x70000000
User_TLB_DDR_4_8,0x3ef55e,0x1000,0x70400000
User_TLB_DDR_4_9,0x351ea0,0x1000,0x70800000
User_TLB_DDR_4_6,0x34a796,0x1000,0x70c00000
User_TLB_DDR_5_1,0xec950,0x400,0x71000000
User_TLB_DDR_5_7,0xca432,0x400,0x71100000
User_TLB_DDR_5_4,0x8085d,0x400,0x71200000
User_TLB_DDR_5_2,0x7fd4c,0x400,0x71300000
User_TLB_DDR_6_3,0xb934,0x40,0x71200000
User_TLB_DDR_6_4,0x8d2b,0x40,0x71210000
User_TLB_DDR_6_1,0x743f,0x40,0x71220000
User_TLB_DDR_6_2,0x653d,0x40,0x71230000
