Name,Min Size,Size In KB,Start Address
User_TLB_DDR_1_3,0xe602a97,0x40000,0x0
User_TLB_0,0xd9d0834,0x40000,0x10000000
User_TLB_DDR_1_4,0xcdcf706,0x40000,0x20000000
User_TLB_DDR_1_2,0xaee6ef0,0x40000,0x30000000
User_TLB_DDR_2_1,0x3f15902,0x10000,0x40000000
User_TLB_DDR_2_7,0x3982d37,0x10000,0x44000000
User_TLB_DDR_2_3,0x316854f,0x10000,0x48000000
User_TLB_DDR_2_5,0x2e64a16,0x10000,0x4c000000
User_TLB_0,0xd09aff,0x4000,0x50000000
User_TLB_DDR_3_4,0xc9973b,0x4000,0x51000000
User_TLB_DDR_3_3,0x9610ea,0x4000,0x52000000
User_TLB_DDR_3_1,0x54ed7b,0x4000,0x53000000
User_TLB_DDR_4_1,0x3796c5,0x1000,0x54000000
User_TLB_DDR_4_2,0x2f5494,0x1000,0x54400000
User_TLB_0,0x2d6ee8,0x1000,0x54800000
User_TLB_DDR_4_5,0x2d3c66,0x1000,0x54c00000
User_TLB_DDR_5_5,0x3f366,0x100,0x55000000
User_TLB_0,0x39219,0x100,0x55040000
User_TLB_DDR_5_3,0x34b59,0x100,0x55080000
User_TLB_DDR_5_2,0x130dc,0x100,0x550c0000
User_TLB_DDR_6_3,0xb106,0x40,0x55100000
User_TLB_DDR_6_1,0xacbc,0x40,0x55110000
User_TLB_0,0xa5f8,0x40,0x55120000
User_TLB_DDR_6_4,0x9adf,0x40,0x55130000
