Name,Min Size,Size In KB,Start Address
User_TLB_DDR_6_15,0xb39e,0x40,0x55130000
User_TLB_DDR_6_8,0xc668,0x40,0x55120000
User_TLB_DDR_6_7,0xd73f,0x40,0x55110000
User_TLB_DDR_6_12,0xf768,0x40,0x55100000
User_TLB_DDR_5_7,0x16828,0x100,0x550c0000
User_TLB_DDR_5_3,0x184d3,0x100,0x55080000
User_TLB_DDR_5_2,0x25f8d,0x100,0x55040000
User_TLB_DDR_5_4,0x352ea,0x100,0x55000000
User_TLB_DDR_4_2,0x2a5dfc,0x1000,0x54c00000
User_TLB_DDR_4_1,0x2e9e98,0x1000,0x54800000
User_TLB_DDR_4_3,0x2fdafa,0x1000,0x54400000
User_TLB_DDR_4_5,0x36f7db,0x1000,0x54000000
User_TLB_DDR_3_2,0x9adbce,0x4000,0x53000000
User_TLB_DDR_3_1,0xa783eb,0x4000,0x52000000
User_TLB_DDR_3_5,0xdb241a,0x4000,0x51000000
User_TLB_DDR_3_4,0xebfcfd,0x4000,0x50000000
User_TLB_DDR_2_72,0x3e8fa0e,0x10000,0x4c000000
User_TLB_DDR_2_23,0x3f142d0,0x10000,0x48000000
User_TLB_DDR_2_11,0x3f6a053,0x10000,0x44000000
User_TLB_DDR_2_112,0x3fcbebd,0x10000,0x40000000
User_TLB_DDR_1_13,0xe6fe4c2,0x40000,0x30000000
User_TLB_DDR_1_16,0xebba557,0x40000,0x20000000
User_TLB_DDR_1_26,0xf18992a,0x40000,0x10000000
User_TLB_DDR_1_18,0xf6378b3,0x40000,0x0
